"Pay with Amazon Exceptions","Pay with Amazon Exceptions"
"per page","per page"
"Please enter this URL in the <strong>Merchant URL</strong> field of the Integration Settings in your Amazon Seller Central.","Please enter this URL in the <strong>Merchant URL</strong> field of the Integration Settings in your Amazon Seller Central."
"Please enter your shop password to match it with your Amazon account.","Please enter your shop password to match it with your Amazon account."
"Please fill in required data that cannot be retrieved from your Amazon account.","Please fill in required data that cannot be retrieved from your Amazon account."
"Please note that the total amount of the order will be charged at order placement.","Please note that the total amount of the order will be charged at order placement."
"Please provide all required data.","Please provide all required data."
"Preview","Preview"
"Response code","Response code"
"Sandbox Mode","Sandbox Mode"
"Secret Access Key","Secret Access Key"
"Select appropriate store view scope to display IPN endpoint URL","Select appropriate store view scope to display IPN endpoint URL"
"Select whether an email confirmation for newly placed orders shall be sent by the shop","Select whether an email confirmation for newly placed orders shall be sent by the shop"
"Send order confirmation","Send order confirmation"
"Settings","Settings"
"Show Sandbox Toolbox","Show Sandbox Toolbox"
"Small","Small"
"Stores","Stores"
"Tan","Tan"
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"This extension integrates easily your Magento shop with Pay with Amazon service.","This extension integrates easily your Magento shop with Pay with Amazon service."
"This feature requires valid SSL certificate to be installed on this server. Pay attention that the SSL certificate must be issued by a trusted Certificate Authority, self-signed certificates are not permitted.","This feature requires valid SSL certificate to be installed on this server. Pay attention that the SSL certificate must be issued by a trusted Certificate Authority, self-signed certificates are not permitted."
"Total %d records found","Total %d records found"
"United Kingdom","United Kingdom"
"United States","United States"
"URL","URL"
"Use your Amazon Account","Use your Amazon Account"
"View","View"
"Visit <a href=""%s"" target=""_blank"">%s</a> to get more information.","Visit <a href=""%s"" target=""_blank"">%s</a> to get more information."
"Wallet widget height","Wallet widget height"
"Wallet widget width","Wallet widget width"
"Whether to show a toolbox in the checkout for simulating different payment scenarios.","Whether to show a toolbox in the checkout for simulating different payment scenarios."
"Whoops! Your Access Key ID seems to be invalid.","Whoops! Your Access Key ID seems to be invalid."
"Whoops! Your Merchant ID seems to be invalid.","Whoops! Your Merchant ID seems to be invalid."
"Whoops! Your Secret Access Key seems to be invalid.","Whoops! Your Secret Access Key seems to be invalid."
"With Amazon Payments, you can use the shipping and payment information stored in your Amazon account to place an order on this website. It's a convenient and trusted way to pay that's enjoyed by millions of people.","With Amazon Payments, you can use the shipping and payment information stored in your Amazon account to place an order on this website. It's a convenient and trusted way to pay that's enjoyed by millions of people."
"X-Large","X-Large"
"X-Large (173 x 27 pixels)","X-Large (173 x 27 pixels)"
