"Installed Magento extensions","Installierte Magento Erweiterungen"
"Installed PHP modules","Installierte PHP Module"
"Invalid password","Falsches Passwort"
"IPN endpoint URL","IPN Endpunkt URL"
"IPN Notifications","IPN Notifications"
"Large","Groß"
"Large (151 x 27 pixels)","Groß (151 x 27 Pixel)"
"Leave empty for access from any location","Leer lassen für den Zugriff von jedem beliebigen Standort"
"Light gray","Hellgrau"
"Login and Pay with Amazon","Login und Bezahlen mit Amazon"
"Login with Amazon","Login mit Amazon"
"Magento Settings","Magento Settings"
"Manual authorization","Manuel authorisieren"
"Marketplace","Marktplatz"
"Medium","Mittel"
"Medium (126 x 24 pixels)","Mittel (126 x 24 Pixel)"
"Merchant ID","Händlernummer"
"Next page","Nächste Seite"
"No, use data polling instead","Nein, data polling anstelle benutzen"
"Notification type","Notification type"
"of %s pages","von %s Seiten"
"Orange (recommended)","Orange (empfohlen)"
"Order status on authorization","Status der Bestellung nach der Autorisierung"
"Page","Seite"
"Payment Action","Zahlungsvorgang"
"Payment widget height","Payment widget height"
"Payment widget width","Payment widget width"
"Pay with Amazon","Bezahlen mit Amazon"
"Pay with Amazon API Calls","Pay with Amazon API Calls"
"Pay with Amazon Exceptions","Pay with Amazon Exceptions"
"per page","pro Seite"
"Please enter this URL in the <strong>Merchant URL</strong> field of the Integration Settings in your Amazon Seller Central.","Diese URL bitte in dem Feld <strong>Händler-URL</strong> in den Integrationseinstellungen in der Amazon Sellercentral einstellen."
"Please enter your shop password to match it with your Amazon account.","Bitte geben Sie Ihr Shop Passwort ein damit die Kontos verknüpft werden."
"Please fill in required data that cannot be retrieved from your Amazon account.","Bitte füllen Sie folgende obligatorische Felder aus die wir nicht aus dem Amazon Konto übernehmen konnten."
"Please note that the total amount of the order will be charged at order placement.","Bitte beachten Sie dass der komplette Betrag bei Bestellung belastet wird."
"Please provide all required data.","Bitte füllen Sie die obligatorischen Felder aus."
"Preview","Vorschau"
"Response code","Response code"
"Sandbox Mode","Sandbox-Modus"
"Secret Access Key","Secret Access Key"
"Select appropriate store view scope to display IPN endpoint URL","Bitte den richtigen Konfigurationsumfang in der Liste der Läden auswählen um die IPN endpoint URLs anzuzeigen."
"Select whether an email confirmation for newly placed orders shall be sent by the shop","Auswählen ob eine Bestätigungsemail für neue Bestellungen durch den Shop verschickt wird."
"Send order confirmation","Bestellbestätigung"
"Settings","Einstellungen"
"Show Sandbox Toolbox","Sandbox Toolbox anzeigen"
"Small","Klein"
"Stores","Stores"
"Tan","Beige"
"There was an error processing your order. Please contact us or try again later.","Bei der Verarbeitung Ihrer Bestellung ist ein Fehler aufgetreten. Kontaktieren Sie uns oder probieren Sie es bitte später erneut."
"This extension integrates easily your Magento shop with Pay with Amazon service.","Die Erweiterun integriert den ""Login und Bezahlen mit Amazon"" Service in ihren Magento Shop."
"This feature requires valid SSL certificate to be installed on this server. Pay attention that the SSL certificate must be issued by a trusted Certificate Authority, self-signed certificates are not permitted.","Diese Funktion erfordert die Installation eines gültigen SSL-Zertifikats auf Ihrem Server. Achten Sie darauf, dass das SSL-Zertifikat von einer vertrauenswürdigen Zertifizierungsstelle ausgestellt wird. Selbst signierte Zertifikate sind nicht gestattet."
"Total %d records found","Total %d Einträge gefunden"
"United Kingdom","Vereinigtes Königreich"
"United States","Vereinigte Staaten"
"URL","URL"
"Use your Amazon Account","Melden Sie sich mit ihrem Amazon Konto an"
"View","Ansicht"
"Visit <a href=""%s"" target=""_blank"">%s</a> to get more information.","Besuchen Sie <a href=""%s"" target=""_blank"">%s</a> um mehr Informationen zu erhalten."
"Wallet widget height","Höhe Zahlartenwidget"
"Wallet widget width","Breite Zahlartenwidget"
"Whether to show a toolbox in the checkout for simulating different payment scenarios.","Auswahl ob die Toolbox zum simulieren von verschiedenen Zahlungsscenarios (inklusive Ablehnungen) im Sandbox Modus angezeigt wird"
"With Amazon Payments, you can use the shipping and payment information stored in your Amazon account to place an order on this website. It's a convenient and trusted way to pay that's enjoyed by millions of people.","Mit Login und Bezahlen über Amazon können Sie im Webshop mit den Zahlungs- und Versandinformationen aus Ihrem Amazon-Kundenkonto bezahlen. Das macht Einkaufen bei uns schnell, einfach und sicher."
"Whoops! Your Access Key ID seems to be invalid.","Whoops! Ihre Access Key ID ist nicht korrekt."
"Whoops! Your Merchant ID seems to be invalid.","Whoops! Ihre Händlernummer ist nicht korrekt."
"Whoops! Your Secret Access Key seems to be invalid.","Whoops! Ihr Secret Access Key ist nicht korrekt.""With Amazon Payments, you can use the shipping and payment information stored in your Amazon account to place an order on this website. It's a convenient and trusted way to pay that's enjoyed by millions of people.","Mit Login und Bezahlen über Amazon können Sie im Webshop mit den Zahlungs- und Versandinformationen aus Ihrem Amazon-Kundenkonto bezahlen. Das macht Einkaufen bei uns schnell, einfach und sicher."
"X-Large","Sehr groß"
"X-Large (173 x 27 pixels)","Sehr groß (173 x 27 Pixel)"
